account_number,annual_income,household_size,years_post_high_school_ed,hours_per_week_watching_tv,age,gender,exceeded_credit_limit_in_past,annual_charges
23313578,21.8,4,5,29,47,Female,No,10023.52
14168784,65.5,7,3,46,60,Female,No,11248.76
498076,54.2,3,2,18,47,Male,No,6115
12286258,73.7,6,0,44,41,Male,No,9785.55
14458626,110.4,7,5,39,36,Female,No,12633.98
6587932,22.1,8,3,39,52,Female,No,3309.42
28612775,39.6,5,4,40,49,Female,No,18927.68
23618891,90.6,8,5,27,46,Female,No,15762.55
6620536,38.7,1,4,15,40,Male,No,0
25744803,60.5,3,1,3,60,Male,No,11294.9
26373139,104.3,4,5,58,53,Female,Yes,21484.52
18241851,44.5,3,5,19,30,Male,No,11023.75
29558287,67.1,6,1,33,35,Male,No,20523.11
14427717,72.3,3,3,27,33,Female,No,17274.75
19206708,114.8,5,3,23,29,Male,No,25181.64
13775672,96,6,2,36,19,Male,No,11498.39
28207255,90.2,4,0,59,24,Male,No,16442.82
26411517,54.6,4,0,6,39,Male,No,4410.32
22411321,97.4,4,4,30,28,Male,Yes,15200.75
29587727,45.9,7,3,46,33,Female,No,16624.83
25774035,61.8,4,4,53,65,Female,No,11055.97
202180,38.6,2,3,57,43,Female,No,6595.49
1412960,68.9,3,3,27,29,Male,No,9007.33
7418245,73.4,7,1,9,26,Male,No,20757.31
10107002,22.6,6,0,17,60,Female,No,9886.82
26588030,50.5,7,5,20,54,Male,No,939.95
26296381,81.6,5,1,32,50,Male,No,5236.84
26868036,37.3,1,4,18,55,Female,No,1408.93
13898458,66.1,4,3,38,23,Female,No,8598.72
11423261,24.3,5,3,46,61,Female,No,9471.39
29896806,32.5,8,4,14,42,Male,No,1188.5
29336958,65.7,8,1,16,56,Female,No,8496.08
25494293,51.4,1,3,18,56,Female,No,15463.32
25239019,101.8,8,5,22,36,Female,Yes,20736.38
13964728,31.8,4,4,17,40,Female,No,1237.09
12936145,120.9,8,1,16,54,Male,No,19291.62
9742628,102.8,7,3,53,60,Female,No,19200.32
25804252,70.4,5,2,20,56,Male,No,8694.3
21467566,43.2,6,0,11,27,Female,No,2502.03
2948494,33.6,6,2,21,38,Male,No,1716.98
859874,32.9,3,2,56,46,Male,Yes,862.5
6733609,97.9,5,3,21,26,Male,No,10910
18368006,101.7,3,2,15,57,Female,No,9562.92
28865347,77.2,5,4,59,38,Male,No,21031.75
23958869,86.2,5,4,54,53,Male,No,8989.74
25490051,111.9,6,0,56,44,Male,No,23658.83
14065877,59.8,6,3,23,57,Male,No,13964.96
21437302,74.5,6,2,38,37,Male,No,8914.84
24184521,56.8,1,3,46,43,Male,No,10087.41
14880022,39.9,6,2,42,30,Female,No,5053.99
24346545,96.6,4,2,7,25,Female,No,10773.19
25139767,53.5,1,0,14,34,Male,No,9498.55
8424632,126.9,5,0,43,56,Female,No,17047.29
4781882,49.9,7,4,23,42,Female,No,8283.89
28239888,52,6,0,38,57,Female,Yes,14795.85
15048884,114.8,1,1,16,28,Male,No,11478.03
4659321,126.9,6,2,5,40,Male,No,23127.27
23075630,60.3,5,4,3,46,Male,No,8293.65
4724635,42.3,4,3,10,41,Female,No,5448.48
7794950,99.5,2,4,20,46,Male,No,14488.95
372971,34.9,4,3,54,38,Male,No,5718.26
11008291,71.5,3,0,34,36,Female,No,18336.19
5458297,51.6,8,2,21,45,Male,No,7751.03
9805512,90.7,4,0,60,57,Female,No,15915.42
1046640,16.4,5,2,27,34,Female,No,3649.49
25767927,47,7,4,8,41,Female,No,19459.4
12663249,58.7,4,1,46,31,Female,No,14838.47
8459859,81.4,6,4,49,36,Male,Yes,10440.05
21754363,77.8,6,5,39,38,Male,No,5582.47
29355312,99.2,1,2,4,54,Female,No,7289.82
2000496,27.6,3,1,16,57,Female,No,6700.83
8799951,82.3,5,5,34,46,Female,No,17472.88
27033290,118.3,6,4,15,60,Female,No,20736.25
18638518,67.5,7,2,10,57,Female,No,19718.98
6013029,78.6,4,5,50,50,Female,No,13959.69
22400666,36.9,6,2,17,57,Male,No,9025.36
25744338,30.4,1,3,13,57,Female,No,11288.56
27186018,24.1,3,2,41,63,Female,No,10742.15
25944181,49.2,2,0,29,40,Female,No,3490.56
29429534,76.4,5,1,12,62,Female,No,17070.8
6101923,15.9,3,4,49,49,Female,No,874.41
14995462,59.6,1,2,26,51,Male,No,4974.55
3034485,105.7,3,4,56,28,Female,Yes,15742.73
14497613,56.3,7,0,18,30,Male,No,9199.38
1653114,74.7,7,4,40,48,Female,No,16966.78
15982419,30.7,1,3,36,60,Male,No,0
13122131,103.8,5,1,10,59,Female,No,12269.11
29416507,60.1,7,3,30,57,Female,Yes,12189.83
19826540,23.3,6,4,34,50,Male,No,3211.6
23912034,77.3,3,5,50,42,Male,No,15906.89
22227523,69.7,2,2,9,51,Male,No,19535.96
5481221,106.8,6,3,59,42,Male,No,22651.98
1552548,104.1,2,4,27,41,Male,Yes,13785.76
6470048,80.3,2,4,17,37,Male,No,10559.04
25487931,89.9,2,3,43,27,Female,No,11414.29
25007131,82.6,2,3,6,48,Male,No,10717.49
6568944,45.5,2,4,11,55,Male,Yes,8335.26
6455160,45.7,7,1,2,43,Male,Yes,15452.7
16014897,76.1,5,5,47,44,Male,No,11002.96
17814563,91.3,4,2,14,55,Male,No,19451.41
11443767,105.8,4,5,25,43,Male,Yes,19186.77
28375031,43,8,3,59,45,Male,No,17269.26
15967543,66.7,5,0,36,46,Male,No,10374.6
24035991,48.1,2,3,22,44,Female,No,7100.11
2640129,29.7,1,4,41,39,Male,No,0
27069259,98.7,2,3,57,26,Female,No,15122.05
1716370,119.5,5,3,24,44,Male,No,22067.02
6740574,111.9,3,5,51,45,Male,Yes,11123.51
16904952,30.5,6,2,49,32,Female,No,12083.96
4820296,49.9,6,0,36,36,Female,No,13614.23
15176396,54.7,2,3,40,34,Female,No,0
2533454,116.4,8,2,59,52,Male,Yes,18483.68
16790273,68.4,5,1,55,36,Male,No,12071.37
28054301,28.3,5,4,46,39,Male,No,0
10206351,71.7,7,1,57,41,Male,No,18469.47
28421385,69.8,6,1,45,43,Female,No,16850.23
3348962,78.3,8,1,5,56,Male,No,15385.82
7887894,85.2,7,1,32,47,Male,No,22115.26
2214342,22.6,3,4,35,57,Female,No,0
14259159,43.1,7,5,4,32,Female,No,733.3
4646074,109.6,4,1,1,41,Female,No,23703.03
1780092,56.7,5,4,20,44,Male,No,8180.7
16313800,125.5,1,0,21,47,Male,No,10065.5
10125132,52,3,1,54,33,Male,No,10110.61
11065808,40,7,2,39,43,Male,No,1831.48
3361747,46,5,2,3,43,Female,No,8507.31
19820027,101.3,3,4,38,43,Male,No,6776.17
20977364,101.1,4,3,11,34,Female,No,23609.1
15171096,83.1,7,0,6,51,Male,No,6643.43
7972824,69.2,1,1,5,37,Male,No,8533.67
22689265,47.4,8,4,33,43,Female,No,4885.98
22596549,82,7,2,57,41,Female,No,7256.53
4690743,76.1,8,4,1,41,Male,No,14980.84
29540159,63.9,5,5,57,33,Male,No,13574.76
27334786,87.8,3,2,58,37,Male,Yes,16494.31
1157829,67.1,2,1,19,45,Female,No,8563.2
20466474,30.5,4,2,53,61,Female,No,12183.08
10315180,69.6,4,3,46,40,Female,Yes,12579.73
21421097,31.9,6,3,53,55,Male,No,10089.02
11409800,36.2,3,5,21,33,Male,No,4751.92
19144052,96.3,4,4,33,46,Male,Yes,15505.66
23887312,50.3,2,5,44,40,Male,No,12924.75
9339989,97.7,7,5,16,63,Female,No,21855.16
26825633,70.6,5,2,51,34,Female,No,12321.39
6370873,71.9,3,4,46,27,Female,No,9642.69
11898332,22.9,7,0,43,43,Female,No,2793.13
25950666,68.9,2,5,50,48,Female,No,19172.41
3691035,30,8,4,47,43,Male,No,8648.89
9017267,116.9,1,5,7,37,Male,No,20998.9
12604097,82,2,4,33,62,Female,No,7789.87
5364010,29.9,7,5,5,37,Female,No,11345.04
11614563,117.5,3,3,32,49,Female,No,19539.8
5364429,66.5,3,0,37,21,Male,No,16778.16
27966373,60,5,2,7,41,Female,No,4750.3
7169046,50.8,4,3,23,29,Female,No,14612.67
6604608,77.8,6,4,39,46,Male,No,22781.38
17485929,100.2,2,0,15,32,Male,No,10945.93
11108099,63.8,7,4,42,32,Female,No,8445.67
8783277,46.4,7,4,20,58,Female,No,6523.48
22386048,36.5,2,1,1,39,Male,No,15610.54
11910983,74.9,8,5,15,33,Female,No,7159.41
12403389,80.1,5,4,35,30,Male,No,8062.19
3462500,111.1,2,3,17,46,Female,No,8918.14
21311106,70.6,5,5,23,51,Female,No,6842.6
17225837,42.9,2,1,45,52,Male,No,4130.92
28381633,102.5,2,4,52,42,Male,No,14561.36
11128055,46.3,1,1,57,58,Female,Yes,1898.68
10592247,50.5,4,0,49,53,Male,Yes,10031.33
21344014,31.4,5,4,4,54,Male,Yes,1466.52
858023,64.7,5,4,59,32,Male,No,18957.15
17289872,38.4,1,3,1,55,Female,No,11952.3
10071020,100,6,5,57,39,Female,No,13275.47
10660681,44.3,5,2,40,33,Male,No,3159.05
20912185,47.8,2,1,40,51,Female,No,3108.39
17714166,15,8,1,27,43,Male,No,5896.83
11359809,83.5,6,4,18,35,Male,No,11006.5
13588645,75.4,1,4,2,58,Female,No,4114.64
4182608,95.3,1,5,18,48,Male,No,9219.38
25449976,104.9,6,3,46,59,Female,No,9390.09
470034,92.2,2,5,5,64,Female,Yes,17582.56
16100943,54,6,2,50,44,Male,No,8298.79
24632777,87.7,6,0,53,29,Male,No,13740.12
2863287,34.6,4,4,51,62,Male,No,4587.33
24108493,41.2,8,2,54,57,Male,No,12782.06
24032391,60,6,2,52,29,Male,No,5265.26
27841690,102.8,6,5,47,46,Male,Yes,12695.32
4217331,41.3,2,4,47,44,Female,No,3685.09
8166299,45.8,3,0,48,62,Male,No,7987.56
21519170,45.1,2,4,58,34,Male,No,10351.97
15798021,91.2,3,4,26,29,Female,No,14772.21
27027310,81.8,6,4,35,44,Male,No,7552.79
3208474,38.1,1,2,8,39,Female,No,2837.82
24068063,62.4,6,1,48,34,Male,No,15984.06
27216781,36.1,5,3,31,61,Male,Yes,5810.08
25922110,43.8,7,3,40,35,Male,Yes,10477.87
12083473,67.2,4,4,55,55,Male,No,1449.12
18642306,47.6,6,5,26,37,Male,No,2138.12
15799821,50.1,2,0,51,61,Male,No,7246.56
522469,116.9,4,1,39,58,Male,No,17852.38
23326942,74.4,5,4,28,47,Male,Yes,11984.69
24813663,109.1,2,4,48,35,Female,No,22902.99
24614746,108.1,7,0,49,41,Female,No,15147.56
27174609,94.5,7,2,39,48,Male,No,17303.67
7975265,65,3,4,47,42,Female,No,10775.43
29284445,70.1,5,1,7,52,Male,No,13999.94
23835489,99.5,4,2,16,31,Female,No,16441.8
19873471,46.4,3,2,18,54,Male,No,10458.18
2832605,53.6,2,4,18,60,Female,No,0
28791886,93.5,7,1,6,48,Male,No,14866
8946352,112.5,5,4,48,54,Male,No,9852.74
9586093,96.5,5,2,35,34,Female,No,12869.99
6064144,98.8,1,5,51,24,Male,No,21545.43
16831983,45.6,4,4,24,39,Male,No,15874.78
29898521,104.5,2,4,28,27,Male,No,17017.23
12419195,33.2,4,3,9,34,Male,No,14199.55
21170016,36.8,3,2,60,35,Male,No,16850.21
23116435,32,6,5,14,64,Male,No,6409.73
3879735,87.2,5,2,2,27,Female,No,20039.64
4301232,63.5,5,2,13,59,Male,No,10378.6
13830546,60.2,7,2,59,61,Female,No,9049.08
7605648,76.6,4,1,12,45,Male,No,21751.39
7802284,20.8,8,1,22,49,Female,Yes,3786.93
23868893,92.1,1,3,9,38,Male,No,20751.65
10234698,73.6,7,3,50,34,Female,No,13126.68
25895270,28.4,4,4,28,46,Female,No,6059.91
4865561,78.7,5,3,25,39,Male,No,3038.61
2876697,35.7,7,2,9,37,Male,Yes,3586.19
21086787,87.8,4,3,8,51,Male,No,19213.97
14053343,106.3,3,1,7,43,Male,No,13159
14868163,77.3,7,2,29,36,Female,No,21333.97
18125641,39.9,7,5,52,46,Male,No,11322.26
20596328,93.6,4,4,30,45,Female,No,18605.23
23886945,75.6,5,5,31,37,Female,No,20828.19
17613761,105.3,4,4,42,45,Male,No,25468.19
20088003,104.2,3,4,10,39,Female,No,8418.4
25081553,87.4,7,4,7,39,Male,No,14377.26
8782240,54.8,3,5,1,30,Male,No,3749.18
5915423,89.5,3,2,41,29,Male,No,17821.7
27309256,71.5,8,3,19,40,Female,No,12559.63
11516648,107.1,7,2,31,46,Male,No,9712.59
15882749,60,6,1,10,47,Male,No,13417.85
16552992,37.9,6,5,6,39,Female,No,10080.91
21000261,59.7,1,3,53,47,Male,No,10307.28
29265684,84.2,7,2,38,37,Male,No,14615.08
5479388,104.2,3,4,29,53,Male,No,16331.89
264488,54.3,2,3,3,42,Male,No,14177.98
26794917,116.4,5,3,37,31,Female,No,12492.85
23131363,54.9,4,2,13,43,Male,No,12645.27
10867011,41.5,6,4,36,30,Male,No,2545.67
20965615,88,3,4,30,54,Female,No,19509.03
1471765,67.7,1,1,54,49,Female,No,2096.73
10345179,22.8,5,5,15,43,Male,No,23.1
27230199,61.1,6,5,9,61,Female,No,15226.25
18112326,85.9,6,1,48,37,Female,No,20111.46
26113887,80.5,2,5,56,52,Male,No,17143.84
26595273,42.8,7,4,56,47,Male,No,9019.3
5142725,53,5,4,37,55,Male,No,0
9519933,67.8,7,5,12,33,Female,No,3209.55
23921489,46.6,6,4,36,51,Male,No,16427.44
22153601,28.6,5,3,17,55,Male,No,9572.55
18211317,85.4,6,4,44,49,Male,No,21243.01
5349406,63.8,8,1,23,31,Male,No,3647.57
28414346,84.5,3,3,24,42,Female,No,10106.48
7024081,53.4,6,3,31,51,Female,No,8276.08
9917883,14.3,5,4,28,42,Female,No,10470.26
2096007,85.7,3,1,31,44,Male,Yes,5195.41
12174753,51.7,1,1,51,24,Female,No,19162.88
2386886,47.5,4,4,30,37,Male,No,9745.56
104457,97.2,1,0,3,66,Male,No,15931.08
20449462,48.4,4,4,33,60,Male,No,3608.63
19955465,92.7,5,1,4,61,Male,No,12179.21
19476417,57.3,5,2,28,42,Male,No,13879.86
8458998,74.7,8,4,57,35,Female,No,11667.77
16958418,96,1,4,54,46,Male,No,18638.39
5501938,55,5,1,51,52,Female,No,7770.6
29617002,131.7,4,3,45,48,Male,No,10480.1
20158147,42,7,4,11,26,Female,No,12517.22
5772603,25.2,4,0,38,42,Male,No,3294.61
15868037,47.3,5,3,48,25,Female,No,8512.13
10118128,51.9,8,1,0,42,Male,No,10077.88
12045288,41.1,3,3,14,48,Male,No,14607.59
22789100,26.9,6,0,20,54,Male,No,13950.22
9824189,116.8,3,5,54,52,Male,No,14710.89
26818678,66.2,4,1,9,41,Male,No,11009.99
26192535,127.1,3,2,56,64,Female,No,16458.76
26242880,42.9,6,5,41,55,Female,No,10465.25
14164853,40.3,4,2,16,60,Male,No,8467.7
29424711,105.5,3,2,29,30,Female,No,11246.39
17226889,44.2,6,4,15,62,Female,No,4548.68
10353094,83.5,1,2,29,43,Female,No,5286.72
1919503,45.8,2,2,54,37,Female,No,6370.01
4524231,100.4,7,3,43,38,Female,No,19420.61
18612963,106,8,2,19,58,Male,No,10023.04
10688112,62.3,5,0,48,47,Male,No,16312.73
27061943,114.3,6,4,20,54,Male,No,11728.36
25327791,63.9,7,2,11,52,Male,No,7902.31
24405475,62.7,3,4,35,42,Female,No,959.4
11465863,84.3,2,2,55,25,Female,No,17532.93
18040814,48.2,4,5,1,40,Female,No,2447.66
7650734,72.5,2,1,53,46,Male,No,10944.07
23301122,38.9,5,0,10,30,Male,No,5682.48
2760522,52.2,6,4,17,30,Female,No,14720.85
10106427,42.9,3,4,18,30,Male,No,0
24986269,104.5,3,1,51,47,Female,No,11097.58
21001445,85.5,6,1,17,59,Male,No,8432.96
21566012,98.2,7,2,23,53,Female,No,21461.54
12916698,64.5,2,4,41,42,Female,No,12495.97
16102400,107.8,2,5,46,33,Male,No,9660.99
27465894,85.7,1,5,13,51,Female,No,13170.5
11396835,73.8,8,1,54,24,Male,No,17312.14
19589378,90,6,0,10,60,Male,No,7071.19
13147958,75.5,4,2,9,59,Male,No,7871.23
18657348,51.4,3,4,13,42,Female,No,0
